scenario_name,challenge_name,status,success,total_steps,duration_s,steps_per_second,total_gradients_submitted,total_gradients_accepted,total_gradients_rejected,rejection_rate,compression_ratio,bandwidth_saved_percent,active_workers,use_async,compression_method,max_staleness
simple_dnn,baseline,completed,True,200,0.002021312713623047,101458.73246250604,800,800,0,0.0,1.0,0.0,4,False,none,0
simple_dnn,wan_bandwidth,completed,False,203,0.0016529560089111328,126439.51767151768,800,203,597,0.74625,100.0,99.0,4,True,topk,3
simple_dnn,wan_latency,completed,False,205,0.0016334056854248047,128294.88510892271,800,205,595,0.74375,20.0,95.0,4,True,topk,5
simple_dnn,heterogeneous,completed,False,210,0.0014603137969970703,147045.7161936561,567,210,357,0.6296296296296297,100.0,99.0,5,True,topk,10
simple_dnn,unreliable,completed,False,133,0.0013704299926757812,99119.12437810945,436,133,303,0.694954128440367,100.0,99.0,4,True,topk,8
simple_dnn,churn,completed,False,195,0.001688241958618164,118931.11531190926,525,195,330,0.6285714285714286,100.0,99.0,6,True,topk,10
simple_dnn,byzantine,completed,False,205,0.002118349075317383,98378.98398169337,969,205,764,0.7884416924664602,20.0,95.0,5,True,topk,5
moderate_dnn,baseline,completed,True,200,0.0019638538360595703,103448.11937353558,800,800,0,0.0,1.0,0.0,4,False,none,0
moderate_dnn,wan_bandwidth,completed,False,203,0.0019860267639160156,103897.95143380109,800,203,597,0.74625,100.0,99.0,4,True,topk,3
moderate_dnn,wan_latency,completed,False,205,0.0020608901977539062,101972.52371916508,800,205,595,0.74375,20.0,95.0,4,True,topk,5
moderate_dnn,heterogeneous,completed,False,210,0.0017254352569580078,124548.05429864253,582,210,372,0.6391752577319587,100.0,99.0,5,True,topk,10
moderate_dnn,unreliable,completed,False,123,0.001455545425415039,86939.567239636,395,123,272,0.6886075949367089,100.0,99.0,4,True,topk,8
moderate_dnn,churn,completed,False,152,0.0015995502471923828,102629.4603992273,430,152,278,0.6465116279069767,100.0,99.0,6,True,topk,10
moderate_dnn,byzantine,completed,False,205,0.002457857131958008,84545.95083579155,957,205,752,0.7857889237199582,20.0,95.0,5,True,topk,5
large_dnn,baseline,completed,True,200,0.0020253658294677734,100054.96183206108,800,800,0,0.0,1.0,0.0,4,False,none,0
large_dnn,wan_bandwidth,completed,False,203,0.0016584396362304688,124407.32203389831,800,203,597,0.74625,100.0,99.0,4,True,topk,3
large_dnn,wan_latency,completed,False,205,0.0018639564514160156,111594.07138221934,800,205,595,0.74375,20.0,95.0,4,True,topk,5
large_dnn,heterogeneous,completed,False,210,0.0014672279357910156,146215.77689243027,554,210,344,0.6209386281588448,100.0,99.0,5,True,topk,10
large_dnn,unreliable,completed,False,115,0.0012595653533935547,93188.74806800619,378,115,263,0.6957671957671958,100.0,99.0,4,True,topk,8
large_dnn,churn,completed,False,180,0.0018682479858398438,98728.22283248333,563,180,383,0.6802841918294849,100.0,99.0,6,True,topk,10
large_dnn,byzantine,completed,False,205,0.0022771358489990234,91325.79075942645,966,205,761,0.7877846790890269,20.0,95.0,5,True,topk,5
very_large_dnn,baseline,completed,True,200,0.0020821094512939453,97315.63805104408,800,800,0,0.0,1.0,0.0,4,False,none,0
very_large_dnn,wan_bandwidth,completed,False,203,0.0020334720611572266,101543.67465712583,800,203,597,0.74625,100.0,99.0,4,True,topk,3
very_large_dnn,wan_latency,completed,False,205,0.001680135726928711,124541.1819235226,800,205,595,0.74375,20.0,95.0,4,True,topk,5
very_large_dnn,heterogeneous,completed,False,210,0.0018165111541748047,118276.33140862093,568,210,358,0.6302816901408451,100.0,99.0,5,True,topk,10
very_large_dnn,unreliable,completed,False,124,0.0013611316680908203,94015.49096167751,420,124,296,0.7047619047619048,100.0,99.0,4,True,topk,8
very_large_dnn,churn,completed,False,140,0.001611948013305664,89539.88411100945,471,140,331,0.70276008492569,100.0,99.0,6,True,topk,10
very_large_dnn,byzantine,completed,False,205,0.002142667770385742,97167.17369194259,964,205,759,0.7873443983402489,20.0,95.0,5,True,topk,5
